,match_id,match_utc,match_day_of_week,match_month,match_year,match_season,home_team_id,home_team_name,home_team_score,home_team_result,away_team_id,away_team_name,away_team_score,away_team_result,home_corners,home_crossing,home_dribbling,home_finishing,home_first_touch,home_free_kick_taking,home_heading,home_long_shots,home_long_throws,home_marking,home_passing,home_penalty_taking,home_tackling,home_technique,home_aggression,home_anticipation,home_bravery,home_composure,home_concentration,home_vision,home_decisions,home_determination,home_flair,home_leadership,home_off_the_ball,home_teamwork,home_work_rate,home_acceleration,home_agility,home_balance,home_jumping_reach,home_natural_fitness,home_pace,home_stamina,home_strength,home_stability,home_foul,home_contest_performance,home_injury,home_diversity,home_aerial_reach,home_command_of_area,home_communication,home_eccentricity,home_handling,home_kicking,home_one_on_ones,home_reflexes,home_rushing_out,home_punching,home_throwing,home_adaptation,home_ambition,home_argue,home_loyal,home_resistant_to_stress,home_professional,home_sportsmanship,home_emotional_control,away_corners,away_crossing,away_dribbling,away_finishing,away_first_touch,away_free_kick_taking,away_heading,away_long_shots,away_long_throws,away_marking,away_passing,away_penalty_taking,away_tackling,away_technique,away_aggression,away_anticipation,away_bravery,away_composure,away_concentration,away_vision,away_decisions,away_determination,away_flair,away_leadership,away_off_the_ball,away_teamwork,away_work_rate,away_acceleration,away_agility,away_balance,away_jumping_reach,away_natural_fitness,away_pace,away_stamina,away_strength,away_stability,away_foul,away_contest_performance,away_injury,away_diversity,away_aerial_reach,away_command_of_area,away_communication,away_eccentricity,away_handling,away_kicking,away_one_on_ones,away_reflexes,away_rushing_out,away_punching,away_throwing,away_adaptation,away_ambition,away_argue,away_loyal,away_resistant_to_stress,away_professional,away_sportsmanship,away_emotional_control,home_form,away_form
270,3609929,2021-08-13T19:00:00.000Z,4,8,2021,2,9937,Brentford,2,W,9825,Arsenal,0,L,6.278409090909091,9.284090909090908,11.068181818181818,9.409090909090908,12.056818181818182,6.767045454545454,12.028409090909092,8.852272727272727,7.329545454545454,8.755681818181818,12.903409090909092,9.261363636363637,9.943181818181818,12.6875,13.403409090909092,12.994318181818182,14.210227272727272,13.386363636363637,13.022727272727272,12.9375,12.670454545454543,15.028409090909092,11.193181818181818,11.198863636363637,10.494318181818182,13.857954545454543,14.693181818181818,13.340909090909092,12.619318181818182,12.534090909090908,12.295454545454543,14.642045454545457,13.471590909090908,13.642045454545457,12.863636363636363,14.380681818181818,7.965909090909091,13.420454545454543,6.948863636363637,10.619318181818182,3.761363636363636,3.522727272727273,4.0625,3.9431818181818175,4.255681818181818,3.636363636363636,3.613636363636364,4.159090909090909,4.068181818181818,4.017045454545454,3.6875,13.761363636363637,14.210227272727272,7.784090909090909,12.715909090909092,13.352272727272728,14.204545454545457,11.244318181818182,12.522727272727272,8.05084745762712,9.186440677966102,10.245762711864408,7.576271186440678,13.61864406779661,8.694915254237289,11.533898305084746,8.508474576271187,5.11864406779661,8.703389830508474,13.52542372881356,7.372881355932203,8.694915254237289,13.576271186440678,12.694915254237287,13.71186440677966,14.169491525423728,12.372881355932204,11.940677966101696,12.59322033898305,12.296610169491526,13.983050847457626,11.508474576271189,10.033898305084746,11.720338983050848,15.635593220338984,13.822033898305085,13.516949152542374,13.694915254237287,13.40677966101695,12.559322033898304,13.466101694915254,13.135593220338984,13.830508474576272,12.66101694915254,12.771186440677964,8.923728813559322,12.610169491525424,8.177966101694915,9.932203389830509,4.830508474576271,4.694915254237288,4.584745762711864,4.898305084745763,5.076271186440678,4.194915254237288,4.8474576271186445,5.457627118644068,5.0423728813559325,4.661016949152542,4.296610169491525,15.059322033898304,13.135593220338984,8.101694915254237,12.33898305084746,12.542372881355933,14.059322033898304,12.245762711864408,11.652542372881356,NA,NA
271,3609934,2021-08-14T11:30:00.000Z,5,8,2021,2,10260,Manchester United,5,W,8463,Leeds United,1,L,9.598214285714286,10.294642857142858,10.107142857142858,8.205357142857142,14.151785714285714,9.6875,8.4375,7.705357142857143,6.375,8.098214285714286,12.616071428571429,9.232142857142858,10.1875,12.821428571428571,12.223214285714286,13.883928571428571,14.142857142857142,11.857142857142858,12.419642857142858,10.901785714285714,11.785714285714286,14.241071428571429,10.517857142857142,11.8125,12.857142857142858,13.669642857142858,13.6875,14.0625,15.303571428571429,13.5,11.982142857142858,15.642857142857142,14.205357142857142,15.964285714285714,12.464285714285714,12.428571428571429,10.446428571428571,13.633928571428571,5.160714285714286,14.223214285714286,5.044642857142857,3.0267857142857144,3.9375,3.3035714285714284,5.223214285714286,5.339285714285714,4.375,5.5,2.4375,3.991071428571429,3.0,15.026785714285714,15.580357142857142,5.883928571428571,13.321428571428571,12.616071428571429,15.553571428571429,12.6875,14.303571428571429,5.389261744966443,7.845637583892618,9.073825503355703,7.295302013422819,12.832214765100671,5.704697986577181,11.31543624161074,7.476510067114094,5.550335570469799,8.664429530201343,12.0,7.033557046979865,9.395973154362416,12.281879194630871,11.483221476510067,13.51006711409396,13.986577181208052,12.375838926174495,12.295302013422818,11.543624161073826,11.906040268456376,13.919463087248324,8.409395973154362,9.476510067114091,10.181208053691275,14.013422818791948,14.114093959731544,12.523489932885909,12.85234899328859,12.832214765100671,13.550335570469798,14.006711409395972,13.369127516778525,14.919463087248324,11.335570469798656,12.161073825503356,7.624161073825503,11.78523489932886,8.85234899328859,12.140939597315436,5.261744966442953,4.597315436241611,4.315436241610739,3.228187919463087,4.167785234899329,3.751677852348993,4.89261744966443,4.563758389261745,4.348993288590604,3.1476510067114094,3.919463087248322,12.201342281879194,13.36241610738255,5.147651006711409,12.013422818791948,13.355704697986576,15.201342281879194,12.228187919463087,13.644295302013424,NA,NA
272,3609932,2021-08-14T14:00:00.000Z,5,8,2021,2,8668,Everton,3,W,8466,Southampton,1,L,8.564102564102564,9.572649572649572,9.76923076923077,9.128205128205128,12.495726495726496,9.41880341880342,11.102564102564102,8.76923076923077,7.170940170940171,7.880341880341881,12.282051282051285,6.888888888888889,8.58974358974359,13.64102564102564,13.367521367521368,13.162393162393162,13.11111111111111,11.982905982905985,12.743589743589745,11.88034188034188,12.102564102564102,14.743589743589745,9.444444444444445,10.384615384615383,10.41880341880342,12.948717948717947,13.307692307692308,12.957264957264956,13.88034188034188,12.974358974358974,11.384615384615383,14.102564102564102,12.923076923076923,14.17948717948718,12.675213675213676,12.2991452991453,9.47863247863248,12.367521367521368,7.341880341880341,10.47863247863248,4.435897435897436,5.188034188034188,4.769230769230769,3.931623931623931,4.846153846153846,5.589743589743589,5.461538461538462,5.418803418803419,4.6923076923076925,4.196581196581197,4.170940170940171,11.974358974358974,13.683760683760685,5.752136752136752,13.17948717948718,12.47863247863248,14.555555555555555,11.931623931623932,11.290598290598291,10.677685950413224,12.173553719008265,11.8099173553719,10.338842975206612,12.421487603305785,11.462809917355372,10.03305785123967,11.429752066115702,7.3884297520661155,9.487603305785123,12.917355371900827,9.652892561983473,11.165289256198347,13.43801652892562,12.223140495867767,13.12396694214876,13.181818181818182,12.818181818181818,12.28099173553719,13.148760330578511,12.355371900826446,14.702479338842975,10.884297520661155,10.47107438016529,12.057851239669422,14.570247933884298,15.198347107438016,13.702479338842975,13.330578512396697,13.008264462809915,9.818181818181818,15.487603305785123,13.47107438016529,15.71900826446281,12.87603305785124,14.06611570247934,7.859504132231405,11.454545454545457,5.793388429752066,12.611570247933884,2.4545454545454546,2.256198347107438,2.239669421487603,2.338842975206612,1.5454545454545454,2.6115702479338845,2.330578512396694,1.900826446280992,2.330578512396694,2.272727272727273,1.396694214876033,10.942148760330578,12.165289256198347,7.363636363636363,14.049586776859504,12.28099173553719,14.355371900826446,12.793388429752063,12.760330578512397,NA,NA
273,3609938,2021-08-14T14:00:00.000Z,5,8,2021,2,9817,Watford,3,W,10252,Aston Villa,2,L,9.0,12.0,14.0,13.0,13.0,9.0,9.0,10.0,5.0,6.0,12.0,14.0,8.0,14.0,14.0,12.0,16.0,14.0,10.0,7.0,9.0,12.0,14.0,8.0,10.0,10.0,10.0,18.0,15.0,12.0,7.0,13.0,18.0,13.0,13.0,8.0,12.0,12.0,5.0,10.0,1.0,3.0,3.0,2.0,3.0,3.0,4.0,4.0,1.0,1.0,3.0,12.0,16.0,8.0,8.0,11.0,7.0,8.0,9.0,7.836477987421383,9.716981132075473,11.635220125786164,8.50314465408805,12.81132075471698,7.377358490566038,10.471698113207546,8.352201257861635,7.729559748427673,8.654088050314465,13.50314465408805,6.836477987421383,10.962264150943396,13.522012578616351,12.49685534591195,13.572327044025156,13.245283018867925,13.327044025157234,12.132075471698114,12.10691823899371,11.880503144654089,14.9937106918239,11.553459119496855,11.540880503144654,12.352201257861635,14.553459119496855,14.91194968553459,13.163522012578616,14.333333333333334,13.42138364779874,11.81761006289308,14.069182389937106,13.21383647798742,13.943396226415096,13.10062893081761,12.761006289308176,11.144654088050316,12.89937106918239,7.49685534591195,10.42138364779874,3.691823899371069,3.993710691823899,3.50314465408805,3.49685534591195,4.60377358490566,4.062893081761007,4.408805031446541,5.081761006289308,4.327044025157233,3.2830188679245285,3.320754716981132,13.150943396226417,13.89308176100629,5.30188679245283,13.672955974842766,13.30817610062893,14.79874213836478,11.20125786163522,12.635220125786164,NA,NA
274,3609930,2021-08-14T14:00:00.000Z,5,8,2021,2,8191,Burnley,1,L,10204,Brighton & Hove Albion,2,W,4.925233644859813,7.11214953271028,8.401869158878505,7.4766355140186915,10.644859813084112,4.859813084112149,11.242990654205608,5.05607476635514,6.981308411214953,10.32710280373832,11.88785046728972,7.336448598130841,11.317757009345794,10.22429906542056,12.0,14.336448598130842,14.411214953271028,11.80373831775701,13.841121495327103,8.962616822429906,12.242990654205608,14.158878504672897,8.485981308411215,11.177570093457945,7.719626168224299,15.822429906542055,14.42056074766355,12.130841121495328,11.97196261682243,11.77570093457944,14.63551401869159,12.878504672897195,12.214953271028037,12.757009345794392,13.149532710280374,14.5607476635514,8.514018691588785,11.523364485981308,6.140186915887851,8.121495327102803,6.308411214953271,4.897196261682243,5.850467289719626,2.1682242990654204,6.08411214953271,3.467289719626168,5.4672897196261685,4.728971962616822,4.850467289719626,5.102803738317757,4.364485981308412,11.766355140186915,13.448598130841122,3.2803738317757007,10.869158878504672,12.514018691588785,12.822429906542055,12.476635514018692,12.981308411214954,9.896103896103895,10.032467532467532,10.681818181818182,9.012987012987011,13.24025974025974,10.383116883116884,9.227272727272728,9.487012987012989,4.9480519480519485,9.064935064935066,13.896103896103895,10.097402597402596,9.824675324675324,14.136363636363637,11.785714285714286,12.85064935064935,13.454545454545457,13.636363636363637,13.675324675324676,12.623376623376624,13.207792207792208,13.227272727272728,11.292207792207792,10.655844155844155,10.733766233766234,13.246753246753247,13.558441558441558,12.532467532467532,12.409090909090908,11.844155844155845,12.071428571428571,13.058441558441558,12.805194805194803,14.064935064935066,11.928571428571429,13.863636363636363,7.889610389610389,13.616883116883116,8.987012987012987,14.116883116883116,4.1103896103896105,4.727272727272728,3.311688311688312,3.2662337662337664,4.012987012987013,4.071428571428571,3.961038961038961,3.279220779220779,3.753246753246753,3.564935064935065,4.090909090909091,15.051948051948052,12.96103896103896,4.584415584415584,12.337662337662335,11.811688311688313,14.058441558441558,10.915584415584416,12.42207792207792,NA,NA
275,3609933,2021-08-14T14:00:00.000Z,5,8,2021,2,8197,Leicester City,1,W,8602,Wolverhampton Wanderers,0,L,9.264957264957266,12.538461538461538,13.683760683760685,11.256410256410255,14.051282051282053,10.88034188034188,9.88888888888889,12.264957264957266,7.358974358974359,9.401709401709402,13.871794871794872,11.307692307692308,12.042735042735044,14.615384615384617,11.555555555555555,13.717948717948715,12.47863247863248,13.350427350427353,12.0,13.658119658119658,13.47863247863248,14.324786324786324,12.367521367521368,10.452991452991451,12.957264957264956,13.649572649572647,14.461538461538462,13.435897435897436,13.504273504273504,12.931623931623932,10.435897435897436,14.709401709401709,12.923076923076923,14.085470085470083,11.52991452991453,12.05982905982906,8.316239316239317,12.88888888888889,7.418803418803419,12.52136752136752,1.1794871794871795,1.931623931623932,2.547008547008547,2.094017094017094,2.0427350427350426,1.709401709401709,2.034188034188034,1.7863247863247864,2.3675213675213675,1.5384615384615383,1.9658119658119655,12.094017094017094,14.658119658119658,6.581196581196581,13.94017094017094,13.504273504273504,14.47863247863248,12.307692307692308,12.598290598290598,8.0,9.492857142857142,11.32857142857143,8.085714285714285,12.685714285714283,10.8,11.128571428571428,9.357142857142858,5.9,9.907142857142857,13.9,9.535714285714286,10.614285714285714,13.821428571428571,11.585714285714284,14.335714285714284,13.642857142857142,13.942857142857145,12.942857142857145,13.735714285714286,12.957142857142856,15.628571428571428,9.907142857142857,11.357142857142858,9.764285714285714,14.32857142857143,13.32857142857143,12.142857142857142,13.278571428571428,13.32857142857143,12.5,13.364285714285714,11.95,13.15,12.464285714285714,13.814285714285717,10.42142857142857,13.67142857142857,8.092857142857143,12.485714285714286,4.285714285714286,5.0,4.6,4.521428571428571,4.185714285714286,3.764285714285714,4.1,5.3,4.6,4.042857142857143,4.421428571428572,11.242857142857142,14.321428571428571,6.171428571428572,13.664285714285716,15.192857142857145,16.042857142857144,13.257142857142858,13.471428571428572,NA,NA
276,3609931,2021-08-14T14:00:00.000Z,5,8,2021,2,8455,Chelsea,3,W,9826,Crystal Palace,0,L,9.804597701149426,10.781609195402298,11.586206896551724,9.06896551724138,14.908045977011492,10.114942528735632,9.149425287356324,9.160919540229886,5.298850574712644,9.39080459770115,14.60919540229885,11.839080459770114,12.011494252873565,14.850574712643676,12.298850574712644,14.770114942528735,14.172413793103448,15.701149425287356,13.494252873563218,13.229885057471265,15.89655172413793,15.71264367816092,12.32183908045977,12.597701149425289,12.839080459770114,16.24137931034483,16.839080459770116,13.379310344827584,13.597701149425289,12.597701149425289,10.459770114942527,14.494252873563218,13.344827586206897,16.160919540229884,11.781609195402298,14.195402298850574,7.942528735632184,14.517241379310343,7.540229885057471,12.333333333333334,3.4022988505747125,3.9080459770114944,3.1379310344827585,3.1379310344827585,2.71264367816092,3.367816091954023,3.5632183908045976,4.114942528735632,2.9080459770114944,2.781609195402299,3.1494252873563218,13.25287356321839,15.126436781609195,6.816091954022989,12.93103448275862,13.137931034482758,16.126436781609197,14.563218390804598,14.758620689655173,6.3125,8.625,11.306818181818182,8.357954545454545,12.079545454545457,7.011363636363637,10.409090909090908,8.1875,7.590909090909091,10.136363636363637,11.727272727272728,8.585227272727273,11.051136363636363,12.181818181818182,12.227272727272728,13.193181818181818,13.545454545454543,13.039772727272728,12.880681818181818,10.727272727272728,12.375,14.522727272727272,9.971590909090908,10.221590909090908,10.579545454545457,13.5,14.153409090909092,13.420454545454543,13.573863636363637,13.448863636363637,12.693181818181818,14.545454545454543,13.613636363636363,14.4375,13.289772727272728,13.119318181818182,7.914772727272727,12.443181818181818,7.619318181818182,11.375,4.193181818181818,3.840909090909091,2.971590909090909,2.8181818181818183,3.727272727272727,3.301136363636364,4.011363636363637,3.8125,3.528409090909091,3.7954545454545454,3.2556818181818183,13.352272727272728,13.5,6.0227272727272725,11.755681818181818,12.517045454545457,13.522727272727272,10.704545454545457,10.914772727272728,NA,NA
277,3609936,2021-08-14T16:30:00.000Z,5,8,2021,2,9850,Norwich City,0,L,8650,Liverpool,3,W,13.0,9.0,10.0,9.0,15.0,13.0,6.0,10.0,9.0,6.0,15.0,15.0,11.0,16.0,11.0,15.0,9.0,16.0,12.0,16.0,13.0,15.0,8.0,12.0,11.0,12.0,13.0,13.0,12.0,9.0,6.0,9.0,12.0,12.0,7.0,11.0,3.0,4.0,9.0,4.0,3.0,3.0,2.0,1.0,3.0,3.0,1.0,2.0,2.0,4.0,1.0,9.0,15.0,2.0,11.0,11.0,16.0,14.0,15.0,8.488372093023257,10.364341085271318,13.34108527131783,9.410852713178295,16.069767441860463,9.527131782945736,11.286821705426355,8.573643410852712,8.031007751937985,9.844961240310075,15.03875968992248,10.34108527131783,10.271317829457365,15.635658914728682,13.193798449612403,15.449612403100776,13.0,15.635658914728682,14.465116279069768,14.116279069767442,15.286821705426355,16.705426356589147,13.286821705426355,11.83720930232558,13.16279069767442,14.37984496124031,15.03875968992248,14.767441860465116,14.418604651162791,15.263565891472869,11.852713178294572,15.984496124031008,14.868217054263566,14.093023255813954,14.527131782945736,15.434108527131784,8.279069767441861,15.503875968992247,7.224806201550388,7.534883720930233,4.968992248062016,4.24031007751938,4.565891472868217,3.8372093023255816,4.813953488372093,4.333333333333333,5.612403100775194,4.689922480620155,5.348837209302325,4.775193798449612,4.627906976744186,16.100775193798448,16.875968992248062,7.627906976744186,14.496124031007753,15.604651162790695,17.0,13.44186046511628,16.108527131782946,NA,NA
278,3609935,2021-08-15T13:00:00.000Z,6,8,2021,2,10261,Newcastle United,2,L,8654,West Ham United,4,W,8.883333333333333,10.95,14.183333333333334,12.1,12.9,9.833333333333334,7.033333333333333,9.8,4.283333333333333,6.066666666666666,12.466666666666669,11.366666666666667,7.983333333333333,13.216666666666669,8.65,12.65,11.283333333333331,11.433333333333334,12.216666666666669,12.8,11.816666666666666,12.516666666666667,13.4,8.016666666666667,14.183333333333334,12.85,15.683333333333334,15.383333333333333,14.283333333333331,12.616666666666667,7.533333333333333,12.7,16.1,13.983333333333333,12.183333333333334,12.533333333333331,7.35,11.516666666666667,11.616666666666667,11.35,1.9,1.7,2.7333333333333334,2.333333333333333,2.1166666666666667,1.8166666666666669,2.1333333333333333,1.9666666666666663,1.0,1.9,2.066666666666667,11.5,11.95,7.366666666666666,12.5,9.983333333333333,13.7,12.25,12.633333333333333,7.196891191709844,10.917098445595856,11.642487046632125,9.922279792746114,12.590673575129534,8.181347150259068,12.720207253886011,9.704663212435234,7.202072538860104,10.901554404145076,12.55958549222798,11.015544041450775,12.823834196891193,12.378238341968911,11.99481865284974,13.66321243523316,12.870466321243525,14.217616580310882,13.715025906735752,11.367875647668392,13.642487046632125,15.569948186528498,10.098445595854924,10.512953367875648,12.259067357512953,14.7720207253886,15.253886010362692,12.88082901554404,13.103626943005182,13.067357512953368,11.782383419689118,15.145077720207254,12.72538860103627,14.984455958549225,12.49740932642487,15.54922279792746,7.357512953367876,13.953367875647668,7.290155440414508,12.782383419689118,3.4507772020725387,3.616580310880829,3.8808290155440415,2.7305699481865284,3.3419689119170983,3.1917098445595853,3.5751295336787563,3.865284974093264,3.704663212435233,3.373056994818653,3.492227979274612,12.55440414507772,14.968911917098444,5.481865284974093,12.66321243523316,13.150259067357512,14.865284974093264,14.253886010362692,13.937823834196893,NA,NA
279,3609937,2021-08-15T15:30:00.000Z,6,8,2021,2,8586,Tottenham Hotspur,1,W,8456,Manchester City,0,L,8.723214285714286,9.991071428571429,10.794642857142858,10.080357142857142,12.285714285714286,10.696428571428571,10.633928571428571,9.348214285714286,6.0,9.410714285714286,12.544642857142858,7.919642857142857,12.732142857142858,13.482142857142858,14.25,14.9375,13.892857142857142,12.910714285714286,13.160714285714286,11.776785714285714,13.6875,15.616071428571429,8.758928571428571,12.946428571428571,12.107142857142858,14.946428571428571,16.017857142857142,12.419642857142858,12.410714285714286,12.196428571428571,11.946428571428571,16.1875,13.714285714285714,15.848214285714286,13.803571428571429,14.357142857142858,6.9375,13.267857142857142,7.401785714285714,12.205357142857142,3.741071428571429,4.276785714285714,4.303571428571429,3.821428571428572,4.928571428571429,4.25,4.214285714285714,4.053571428571429,3.678571428571429,3.803571428571429,3.446428571428572,14.303571428571429,15.616071428571429,8.044642857142858,11.482142857142858,14.125,16.142857142857142,12.303571428571429,13.598214285714286,8.128571428571428,10.978571428571428,14.05,9.864285714285714,14.957142857142856,9.857142857142858,10.7,11.107142857142858,5.642857142857143,8.25,15.342857142857143,10.278571428571428,10.364285714285714,15.485714285714286,12.221428571428572,15.7,13.885714285714286,15.385714285714286,13.928571428571429,15.25,13.971428571428572,14.478571428571428,10.771428571428572,10.357142857142858,13.392857142857142,14.3,14.664285714285716,15.028571428571428,15.05,13.557142857142855,10.9,15.4,14.371428571428572,15.292857142857144,13.028571428571428,15.121428571428572,8.835714285714285,14.371428571428572,7.164285714285715,10.214285714285714,4.378571428571429,4.364285714285714,3.9357142857142855,4.428571428571429,4.821428571428571,5.4,4.521428571428571,4.385714285714286,5.307142857142857,3.0,5.121428571428571,14.385714285714286,15.414285714285716,8.471428571428572,11.392857142857142,14.371428571428572,15.385714285714286,11.064285714285717,14.0,NA,NA
